,sexo_F,sexo_M,posse_de_veiculo_N,posse_de_veiculo_Y,posse_de_imovel_N,posse_de_imovel_Y,possui_fone_comercial_0,possui_fone_comercial_1,possui_fone_0,possui_fone_1,possui_email_0,possui_email_1,mau_False,mau_True,possui_celular_1
0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1
3,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1
4,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1
6,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
8,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
10,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
11,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
14,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
19,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
22,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
23,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
28,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
29,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
31,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
45,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
48,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
49,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1
54,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1
55,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
60,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1
62,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1
69,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
76,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
78,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1
83,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1
84,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
87,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1
88,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1
89,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1
